tweet_id,favorite_count,retweet_count,date_time
760290219849637889,29125,12832,2016-08-02 01:44:48
760539183865880579,8249,4057,2016-08-02 18:14:06
760641137271070720,5388,1446,2016-08-03 00:59:13
760656994973933572,7190,2153,2016-08-03 02:02:14
760893934457552897,4159,1084,2016-08-03 17:43:45
761004547850530816,12258,3864,2016-08-04 01:03:17
761227390836215808,5789,1726,2016-08-04 15:48:47
761292947749015552,4869,1234,2016-08-04 20:09:17
761334018830917632,5686,1616,2016-08-04 22:52:29
761371037149827077,0,20045,2016-08-05 01:19:35
761599872357261312,4498,1312,2016-08-05 16:28:54
761672994376806400,53922,32556,2016-08-05 21:19:27
761745352076779520,4639,957,2016-08-06 02:06:59
761750502866649088,0,4424,2016-08-06 02:27:27
761976711479193600,5891,2259,2016-08-06 17:26:19
762035686371364864,34816,17480,2016-08-06 21:20:40
762316489655476224,5257,1263,2016-08-07 15:56:28
762464539388485633,11276,4718,2016-08-08 01:44:46
